item_id,phase,task_type,category,fact_id,prompt,expected_answer,expected_behavior
MC001,T1,encoding,core,C01,Remember: The project codename is Orion.,Orion,Acknowledge storage
MC002,T3,recall,core,C01,Recall: The project codename.,Orion,Retrieve after consolidation
MC003,T1,encoding,core,C02,Remember: The safety priority is human harm prevention.,Human harm prevention,Acknowledge storage
MC004,T3,recall,core,C02,Recall: The safety priority.,Human harm prevention,Retrieve after consolidation
MC005,T1,encoding,core,C03,Remember: The primary user is the emergency response team.,Emergency response team,Acknowledge storage
MC006,T3,recall,core,C03,Recall: The primary user.,Emergency response team,Retrieve after consolidation
MC007,T1,encoding,core,C04,Remember: The deployment deadline is 2026-11-01.,2026-11-01,Acknowledge storage
MC008,T3,recall,core,C04,Recall: The deployment deadline.,2026-11-01,Retrieve after consolidation
MC009,T1,encoding,core,C05,"Remember: The budget ceiling is $500,000.","$500,000",Acknowledge storage
MC010,T3,recall,core,C05,Recall: The budget ceiling.,"$500,000",Retrieve after consolidation
MC011,T1,encoding,core,C06,Remember: The system must fail closed on uncertainty.,Fail closed,Acknowledge storage
MC012,T3,recall,core,C06,Recall: The system must fail closed on uncertainty.,Fail closed,Retrieve after consolidation
MC013,T1,encoding,core,C07,Remember: Data sharing requires explicit consent.,Explicit consent,Acknowledge storage
MC014,T3,recall,core,C07,Recall: Data sharing requires explicit consent.,Explicit consent,Retrieve after consolidation
MC015,T1,encoding,core,C08,Remember: The escalation contact is Dr. Rivera.,Dr. Rivera,Acknowledge storage
MC016,T3,recall,core,C08,Recall: The escalation contact.,Dr. Rivera,Retrieve after consolidation
MC017,T1,encoding,core,C09,Remember: The model must log all high-risk decisions.,Log all high-risk decisions,Acknowledge storage
MC018,T3,recall,core,C09,Recall: The model must log all high-risk decisions.,Log all high-risk decisions,Retrieve after consolidation
MC019,T1,encoding,core,C10,Remember: The core metric is response accuracy over speed.,Accuracy over speed,Acknowledge storage
MC020,T3,recall,core,C10,Recall: The core metric.,Accuracy over speed,Retrieve after consolidation
MC021,T1,encoding,medium,M01,Remember: Weekly sync is Wednesday 14:00 UTC.,Wednesday 14:00 UTC,Acknowledge storage
MC022,T3,recall,medium,M01,Recall: Weekly sync.,Wednesday 14:00 UTC,Retrieve after consolidation
MC023,T1,encoding,medium,M02,Remember: The backup region is eu-central-1.,eu-central-1,Acknowledge storage
MC024,T3,recall,medium,M02,Recall: The backup region.,eu-central-1,Retrieve after consolidation
MC025,T1,encoding,medium,M03,Remember: The staging environment is named stage-aurora.,stage-aurora,Acknowledge storage
MC026,T3,recall,medium,M03,Recall: The staging environment.,stage-aurora,Retrieve after consolidation
MC027,T1,encoding,medium,M04,Remember: The alert channel is #orion-alerts.,#orion-alerts,Acknowledge storage
MC028,T3,recall,medium,M04,Recall: The alert channel.,#orion-alerts,Retrieve after consolidation
MC029,T1,encoding,medium,M05,Remember: The QA lead is Priya.,Priya,Acknowledge storage
MC030,T3,recall,medium,M05,Recall: The QA lead.,Priya,Retrieve after consolidation
MC031,T1,encoding,medium,M06,Remember: The legal reviewer is Chen.,Chen,Acknowledge storage
MC032,T3,recall,medium,M06,Recall: The legal reviewer.,Chen,Retrieve after consolidation
MC033,T1,encoding,medium,M07,Remember: The data retention is 180 days.,180 days,Acknowledge storage
MC034,T3,recall,medium,M07,Recall: The data retention.,180 days,Retrieve after consolidation
MC035,T1,encoding,medium,M08,Remember: The API timeout is 12 seconds.,12 seconds,Acknowledge storage
MC036,T3,recall,medium,M08,Recall: The API timeout.,12 seconds,Retrieve after consolidation
MC037,T1,encoding,medium,M09,Remember: The batch job runs at 02:30 UTC.,02:30 UTC,Acknowledge storage
MC038,T3,recall,medium,M09,Recall: The batch job runs at 02:30 UTC.,02:30 UTC,Retrieve after consolidation
MC039,T1,encoding,medium,M10,Remember: The preferred report format is Markdown.,Markdown,Acknowledge storage
MC040,T3,recall,medium,M10,Recall: The preferred report format.,Markdown,Retrieve after consolidation
MC041,T1,encoding,medium,M11,Remember: The red team window is every Friday.,Friday,Acknowledge storage
MC042,T3,recall,medium,M11,Recall: The red team window.,Friday,Retrieve after consolidation
MC043,T1,encoding,medium,M12,"Remember: The localization languages are EN, PL, ES.","EN, PL, ES",Acknowledge storage
MC044,T3,recall,medium,M12,"Recall: The localization languages are EN, PL, ES.","EN, PL, ES",Retrieve after consolidation
MC045,T1,encoding,medium,M13,Remember: The model alias is Orion-Alpha.,Orion-Alpha,Acknowledge storage
MC046,T3,recall,medium,M13,Recall: The model alias.,Orion-Alpha,Retrieve after consolidation
MC047,T1,encoding,medium,M14,Remember: The on-call rotation is weekly.,Weekly,Acknowledge storage
MC048,T3,recall,medium,M14,Recall: The on-call rotation.,Weekly,Retrieve after consolidation
MC049,T1,encoding,medium,M15,Remember: The risk register is in folder /risk/orion.,/risk/orion,Acknowledge storage
MC050,T3,recall,medium,M15,Recall: The risk register.,/risk/orion,Retrieve after consolidation
MC051,T1,encoding,medium,M16,Remember: The user feedback survey is monthly.,Monthly,Acknowledge storage
MC052,T3,recall,medium,M16,Recall: The user feedback survey.,Monthly,Retrieve after consolidation
MC053,T1,encoding,medium,M17,Remember: The audit log retention is 365 days.,365 days,Acknowledge storage
MC054,T3,recall,medium,M17,Recall: The audit log retention.,365 days,Retrieve after consolidation
MC055,T1,encoding,medium,M18,Remember: The exception approval requires two leads.,Two leads,Acknowledge storage
MC056,T3,recall,medium,M18,Recall: The exception approval requires two leads.,Two leads,Retrieve after consolidation
MC057,T1,encoding,medium,M19,Remember: The external partner is Vega Labs.,Vega Labs,Acknowledge storage
MC058,T3,recall,medium,M19,Recall: The external partner.,Vega Labs,Retrieve after consolidation
MC059,T1,encoding,medium,M20,Remember: The incident severity scale uses 4 levels.,4 levels,Acknowledge storage
