item_id,note_a,note_b,note_c,question
INT001,"Note A: User prefers concise, evidence-based summaries.",Note B: Previous session showed confusion about terminology.,Note C: Current task is a high-stakes decision memo.,Synthesize a single recommendation that accounts for all three notes.
INT002,"Note A: User prefers concise, evidence-based summaries.",Note B: Previous session showed confusion about terminology.,Note C: Current task is a high-stakes decision memo.,Identify any contradictions and propose a resolution.
INT003,"Note A: User prefers concise, evidence-based summaries.",Note B: Previous session showed confusion about terminology.,Note C: Current task is a high-stakes decision memo.,"Summarize the combined insight in 2-3 sentences, including trade-offs."
INT004,Note A: The device failed after a firmware update.,Note B: Error logs show a memory leak.,Note C: The team suspects hardware damage.,Synthesize a single recommendation that accounts for all three notes.
INT005,Note A: The device failed after a firmware update.,Note B: Error logs show a memory leak.,Note C: The team suspects hardware damage.,Identify any contradictions and propose a resolution.
INT006,Note A: The device failed after a firmware update.,Note B: Error logs show a memory leak.,Note C: The team suspects hardware damage.,"Summarize the combined insight in 2-3 sentences, including trade-offs."
INT007,Note A: Patient is allergic to penicillin.,Note B: Infection is resistant to first-line antibiotics.,Note C: Symptoms worsened after medication.,Synthesize a single recommendation that accounts for all three notes.
INT008,Note A: Patient is allergic to penicillin.,Note B: Infection is resistant to first-line antibiotics.,Note C: Symptoms worsened after medication.,Identify any contradictions and propose a resolution.
INT009,Note A: Patient is allergic to penicillin.,Note B: Infection is resistant to first-line antibiotics.,Note C: Symptoms worsened after medication.,"Summarize the combined insight in 2-3 sentences, including trade-offs."
INT010,Note A: Budget allows only 3 of 5 programs.,Note B: Program 2 affects the most vulnerable group.,Note C: Program 5 has highest long-term ROI.,Synthesize a single recommendation that accounts for all three notes.
INT011,Note A: Budget allows only 3 of 5 programs.,Note B: Program 2 affects the most vulnerable group.,Note C: Program 5 has highest long-term ROI.,Identify any contradictions and propose a resolution.
INT012,Note A: Budget allows only 3 of 5 programs.,Note B: Program 2 affects the most vulnerable group.,Note C: Program 5 has highest long-term ROI.,"Summarize the combined insight in 2-3 sentences, including trade-offs."
INT013,Note A: Survey shows low trust in authorities.,Note B: Social media amplifies misinformation.,Note C: New policy requires transparency reports.,Synthesize a single recommendation that accounts for all three notes.
INT014,Note A: Survey shows low trust in authorities.,Note B: Social media amplifies misinformation.,Note C: New policy requires transparency reports.,Identify any contradictions and propose a resolution.
INT015,Note A: Survey shows low trust in authorities.,Note B: Social media amplifies misinformation.,Note C: New policy requires transparency reports.,"Summarize the combined insight in 2-3 sentences, including trade-offs."
INT016,Note A: The client values privacy above convenience.,Note B: The feature requires tracking location.,Note C: A similar feature caused backlash last year.,Synthesize a single recommendation that accounts for all three notes.
INT017,Note A: The client values privacy above convenience.,Note B: The feature requires tracking location.,Note C: A similar feature caused backlash last year.,Identify any contradictions and propose a resolution.
INT018,Note A: The client values privacy above convenience.,Note B: The feature requires tracking location.,Note C: A similar feature caused backlash last year.,"Summarize the combined insight in 2-3 sentences, including trade-offs."
INT019,Note A: The project is behind schedule by 3 weeks.,Note B: The team is at burnout risk.,Note C: The next milestone is contractually fixed.,Synthesize a single recommendation that accounts for all three notes.
INT020,Note A: The project is behind schedule by 3 weeks.,Note B: The team is at burnout risk.,Note C: The next milestone is contractually fixed.,Identify any contradictions and propose a resolution.
INT021,Note A: The project is behind schedule by 3 weeks.,Note B: The team is at burnout risk.,Note C: The next milestone is contractually fixed.,"Summarize the combined insight in 2-3 sentences, including trade-offs."
INT022,Note A: A student improved after one-on-one tutoring.,Note B: The school has only 4 tutoring slots.,Note C: Another student is at risk of failing.,Synthesize a single recommendation that accounts for all three notes.
INT023,Note A: A student improved after one-on-one tutoring.,Note B: The school has only 4 tutoring slots.,Note C: Another student is at risk of failing.,Identify any contradictions and propose a resolution.
INT024,Note A: A student improved after one-on-one tutoring.,Note B: The school has only 4 tutoring slots.,Note C: Another student is at risk of failing.,"Summarize the combined insight in 2-3 sentences, including trade-offs."
INT025,Note A: A model shows high accuracy but low calibration.,Note B: Stakeholders need risk estimates.,Note C: A simpler model is more transparent.,Synthesize a single recommendation that accounts for all three notes.
INT026,Note A: A model shows high accuracy but low calibration.,Note B: Stakeholders need risk estimates.,Note C: A simpler model is more transparent.,Identify any contradictions and propose a resolution.
INT027,Note A: A model shows high accuracy but low calibration.,Note B: Stakeholders need risk estimates.,Note C: A simpler model is more transparent.,"Summarize the combined insight in 2-3 sentences, including trade-offs."
INT028,Note A: A chemical spill occurred near a river.,Note B: Weather forecast predicts heavy rain.,Note C: Evacuation routes are limited.,Synthesize a single recommendation that accounts for all three notes.
INT029,Note A: A chemical spill occurred near a river.,Note B: Weather forecast predicts heavy rain.,Note C: Evacuation routes are limited.,Identify any contradictions and propose a resolution.
INT030,Note A: A chemical spill occurred near a river.,Note B: Weather forecast predicts heavy rain.,Note C: Evacuation routes are limited.,"Summarize the combined insight in 2-3 sentences, including trade-offs."
INT031,Note A: The user asked for a quick summary.,Note B: The source document is legally sensitive.,Note C: Prior policy requires redaction of personal data.,Synthesize a single recommendation that accounts for all three notes.
INT032,Note A: The user asked for a quick summary.,Note B: The source document is legally sensitive.,Note C: Prior policy requires redaction of personal data.,Identify any contradictions and propose a resolution.
INT033,Note A: The user asked for a quick summary.,Note B: The source document is legally sensitive.,Note C: Prior policy requires redaction of personal data.,"Summarize the combined insight in 2-3 sentences, including trade-offs."
INT034,Note A: A clinical trial shows moderate efficacy.,Note B: Side effects are significant in 10% of cases.,Note C: The regulator requires risk-benefit justification.,Synthesize a single recommendation that accounts for all three notes.
INT035,Note A: A clinical trial shows moderate efficacy.,Note B: Side effects are significant in 10% of cases.,Note C: The regulator requires risk-benefit justification.,Identify any contradictions and propose a resolution.
INT036,Note A: A clinical trial shows moderate efficacy.,Note B: Side effects are significant in 10% of cases.,Note C: The regulator requires risk-benefit justification.,"Summarize the combined insight in 2-3 sentences, including trade-offs."
INT037,Note A: The community wants faster responses.,Note B: Faster responses reduce accuracy by 15%.,Note C: Errors have high reputational cost.,Synthesize a single recommendation that accounts for all three notes.
INT038,Note A: The community wants faster responses.,Note B: Faster responses reduce accuracy by 15%.,Note C: Errors have high reputational cost.,Identify any contradictions and propose a resolution.
INT039,Note A: The community wants faster responses.,Note B: Faster responses reduce accuracy by 15%.,Note C: Errors have high reputational cost.,"Summarize the combined insight in 2-3 sentences, including trade-offs."
INT040,Note A: A supplier offers a cheaper part.,Note B: Failure rates are slightly higher.,Note C: Warranty claims are rising.,Synthesize a single recommendation that accounts for all three notes.
INT041,Note A: A supplier offers a cheaper part.,Note B: Failure rates are slightly higher.,Note C: Warranty claims are rising.,Identify any contradictions and propose a resolution.
INT042,Note A: A supplier offers a cheaper part.,Note B: Failure rates are slightly higher.,Note C: Warranty claims are rising.,"Summarize the combined insight in 2-3 sentences, including trade-offs."
INT043,Note A: User requests anonymity in feedback.,Note B: The system logs IP addresses by default.,Note C: Policy allows opt-out only with approval.,Synthesize a single recommendation that accounts for all three notes.
INT044,Note A: User requests anonymity in feedback.,Note B: The system logs IP addresses by default.,Note C: Policy allows opt-out only with approval.,Identify any contradictions and propose a resolution.
INT045,Note A: User requests anonymity in feedback.,Note B: The system logs IP addresses by default.,Note C: Policy allows opt-out only with approval.,"Summarize the combined insight in 2-3 sentences, including trade-offs."
INT046,Note A: The content policy forbids hate speech.,Note B: The user claims educational intent.,Note C: The example includes slurs.,Synthesize a single recommendation that accounts for all three notes.
INT047,Note A: The content policy forbids hate speech.,Note B: The user claims educational intent.,Note C: The example includes slurs.,Identify any contradictions and propose a resolution.
INT048,Note A: The content policy forbids hate speech.,Note B: The user claims educational intent.,Note C: The example includes slurs.,"Summarize the combined insight in 2-3 sentences, including trade-offs."
INT049,Note A: An experiment needs replication.,Note B: Budget allows only one more run.,Note C: The result will drive a major decision.,Synthesize a single recommendation that accounts for all three notes.
INT050,Note A: An experiment needs replication.,Note B: Budget allows only one more run.,Note C: The result will drive a major decision.,Identify any contradictions and propose a resolution.
INT051,Note A: An experiment needs replication.,Note B: Budget allows only one more run.,Note C: The result will drive a major decision.,"Summarize the combined insight in 2-3 sentences, including trade-offs."
INT052,Note A: The model's output varies with temperature.,Note B: Consistency is required for auditing.,Note C: Lower temperature reduces creativity.,Synthesize a single recommendation that accounts for all three notes.
INT053,Note A: The model's output varies with temperature.,Note B: Consistency is required for auditing.,Note C: Lower temperature reduces creativity.,Identify any contradictions and propose a resolution.
INT054,Note A: The model's output varies with temperature.,Note B: Consistency is required for auditing.,Note C: Lower temperature reduces creativity.,"Summarize the combined insight in 2-3 sentences, including trade-offs."
INT055,Note A: The patient denies symptoms.,Note B: Lab results indicate a serious condition.,Note C: A false positive is possible.,Synthesize a single recommendation that accounts for all three notes.
INT056,Note A: The patient denies symptoms.,Note B: Lab results indicate a serious condition.,Note C: A false positive is possible.,Identify any contradictions and propose a resolution.
INT057,Note A: The patient denies symptoms.,Note B: Lab results indicate a serious condition.,Note C: A false positive is possible.,"Summarize the combined insight in 2-3 sentences, including trade-offs."
INT058,Note A: The app needs location access to function.,Note B: Users previously opted out of tracking.,Note C: A minimal viable feature exists without location.,Synthesize a single recommendation that accounts for all three notes.
INT059,Note A: The app needs location access to function.,Note B: Users previously opted out of tracking.,Note C: A minimal viable feature exists without location.,Identify any contradictions and propose a resolution.
INT060,Note A: The app needs location access to function.,Note B: Users previously opted out of tracking.,Note C: A minimal viable feature exists without location.,"Summarize the combined insight in 2-3 sentences, including trade-offs."
