item_id,domain,difficulty,question,answer,answer_type,metacog_probe
M001,history,medium,In which year did the Battle of Hastings occur?,1066,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M002,history,medium,In which year was the Magna Carta sealed?,1215,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M003,history,easy,In which year did Christopher Columbus reach the Americas?,1492,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M004,history,easy,In which year did the French Revolution begin (storming of the Bastille)?,1789,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M005,history,easy,In which year was the U.S. Declaration of Independence signed?,1776,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M006,history,medium,In which year was the U.S. Constitution ratified?,1788,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M007,history,hard,In which year was Napoleon crowned Emperor of the French?,1804,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M008,history,easy,In which year did the American Civil War begin?,1861,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M009,history,easy,In which year did the American Civil War end?,1865,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M010,history,easy,In which year did World War I begin?,1914,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M011,history,easy,In which year did World War I end?,1918,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M012,history,medium,In which year did the Bolshevik Revolution occur in Russia?,1917,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M013,history,easy,In which year did World War II begin?,1939,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M014,history,easy,In which year did World War II end in Europe?,1945,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M015,history,easy,In which year was the United Nations founded?,1945,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M016,history,easy,In which year did the first human land on the Moon?,1969,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M017,history,easy,In which year did India gain independence from Britain?,1947,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M018,history,easy,In which year did the Berlin Wall fall?,1989,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M019,history,easy,In which year was the Soviet Union dissolved?,1991,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M020,history,medium,In which year were South Africa's first multiracial elections held?,1994,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M021,geography,easy,What is the capital of Canada?,Ottawa,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M022,geography,easy,What is the capital of Australia?,Canberra,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M023,geography,easy,What is the capital of Brazil?,Brasilia,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M024,geography,easy,What is the capital of Japan?,Tokyo,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M025,geography,easy,What is the capital of Germany?,Berlin,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M026,geography,easy,What is the capital of Nigeria?,Abuja,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M027,geography,easy,What is the capital of Egypt?,Cairo,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M028,geography,easy,What is the capital of Argentina?,Buenos Aires,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M029,geography,easy,What is the capital of South Korea?,Seoul,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M030,geography,easy,What is the capital of Kenya?,Nairobi,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M031,geography,easy,What is the capital of Norway?,Oslo,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M032,geography,easy,What is the capital of Spain?,Madrid,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M033,geography,easy,What is the capital of Thailand?,Bangkok,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M034,geography,easy,What is the capital of Turkey?,Ankara,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M035,geography,easy,What is the capital of Vietnam?,Hanoi,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M036,geography,easy,What is the capital of Poland?,Warsaw,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M037,geography,medium,Which river flows through Paris?,Seine,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M038,geography,medium,Which mountain range is commonly considered the boundary between Europe and Asia?,Ural Mountains,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M039,geography,easy,What is the largest hot desert in the world?,Sahara,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M040,geography,easy,What is the smallest continent by land area?,Australia,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M041,physics,easy,What is the SI unit of force?,newton,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M042,physics,easy,What is the SI unit of energy?,joule,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M043,physics,medium,What is the speed of light in vacuum (m/s)?,299792458,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M044,physics,easy,What is the approximate acceleration due to gravity on Earth (m/s^2)?,9.81,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M045,physics,easy,What is the SI unit of electric current?,ampere,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M046,physics,easy,What is the SI unit of frequency?,hertz,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M047,physics,easy,What is Newton's second law formula?,F = m a,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M048,physics,easy,Who formulated the law of universal gravitation?,Isaac Newton,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M049,physics,easy,Which particle has a negative electric charge?,electron,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M050,physics,medium,What is the Greek letter commonly used for wavelength?,lambda,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M051,physics,easy,What is the SI unit of power?,watt,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M052,physics,medium,What is absolute zero in degrees Celsius (approx)?,-273.15,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M053,physics,medium,What is the standard tuning frequency for musical note A4 (Hz)?,440,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M054,physics,medium,Which law states that gas pressure is inversely proportional to volume at constant temperature?,Boyle's law,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M055,physics,medium,Which particle mediates the electromagnetic force?,photon,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M056,physics,hard,"What is Planck's constant (J·s, approx)?",6.626e-34,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M057,physics,easy,What is the SI unit of electric charge?,coulomb,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M058,physics,easy,What is the unit of electrical resistance?,ohm,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M059,physics,hard,"What is the escape velocity from Earth (km/s, approx)?",11.2,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M060,physics,easy,What does E=mc^2 express?,mass-energy equivalence,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M061,chemistry,easy,What is the chemical symbol for gold?,Au,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M062,chemistry,easy,What is the atomic number of carbon?,6,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M063,chemistry,easy,What is the chemical formula for water?,H2O,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M064,chemistry,easy,What is the chemical formula for carbon dioxide?,CO2,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M065,chemistry,easy,What is the pH of neutral water at 25 C?,7,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M066,chemistry,easy,What is the chemical symbol for sodium?,Na,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M067,chemistry,easy,What is the atomic number of oxygen?,8,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M068,chemistry,easy,What is the chemical formula for table salt?,NaCl,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M069,chemistry,easy,What is the chemical symbol for iron?,Fe,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M070,chemistry,easy,What is the atomic number of nitrogen?,7,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M071,chemistry,easy,Which element has the chemical symbol K?,potassium,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M072,chemistry,medium,What is the common name for NaHCO3?,sodium bicarbonate,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M073,chemistry,easy,Which gas is released during photosynthesis?,oxygen,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M074,chemistry,easy,Which noble gas has the symbol Ne?,neon,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M075,chemistry,easy,What is the chemical symbol for silver?,Ag,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M076,chemistry,easy,What is the atomic number of chlorine?,17,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M077,chemistry,easy,What is the chemical formula for methane?,CH4,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M078,chemistry,easy,What is the chemical symbol for lead?,Pb,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M079,chemistry,easy,What is the main component of Earth's atmosphere by volume?,nitrogen,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M080,chemistry,medium,What is the molar mass of water (g/mol)?,18,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M081,biology,easy,What is the basic unit of life?,cell,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M082,biology,easy,What does DNA stand for?,deoxyribonucleic acid,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M083,biology,easy,What process do plants use to make food?,photosynthesis,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M084,biology,easy,Which organelle is known as the powerhouse of the cell?,mitochondrion,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M085,biology,easy,How many chromosomes are in a human somatic cell?,46,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M086,biology,easy,Which base pairs with adenine in DNA?,thymine,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M087,biology,easy,Which base pairs with cytosine in DNA?,guanine,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
M088,biology,medium,What is the universal donor blood type?,O negative,answerable,"Rate confidence 0-100 and explain why; if unsure, say UNKNOWN."
